agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
PALM with expert AMDP,0,99,0.0,0.0,3360.0,4.0
PALM with expert AMDP,0,100,0.0,0.0,3364.0,4.0
PALM with expert AMDP,0,101,0.0,0.0,3368.0,4.0
PALM with expert AMDP,0,102,0.0,0.0,3372.0,4.0
PALM with expert AMDP,0,103,0.0,0.0,3376.0,4.0
PALM with expert AMDP,0,104,0.0,0.0,3380.0,4.0
PALM with expert AMDP,0,105,0.0,0.0,3444.0,64.0
PALM with expert AMDP,0,106,0.0,0.0,3448.0,4.0
PALM with expert AMDP,0,107,0.0,0.0,3452.0,4.0
PALM with expert AMDP,0,108,0.0,0.0,3456.0,4.0
PALM with expert AMDP,0,109,0.0,0.0,3461.0,5.0
PALM with expert AMDP,0,110,0.0,0.0,3465.0,4.0
PALM with expert AMDP,0,111,0.0,0.0,3469.0,4.0
PALM with expert AMDP,0,112,0.0,0.0,3473.0,4.0
PALM with expert AMDP,0,113,0.0,0.0,3483.0,10.0
PALM with expert AMDP,0,114,0.0,0.0,3487.0,4.0
PALM with expert AMDP,0,115,0.0,0.0,3491.0,4.0
PALM with expert AMDP,0,116,0.0,0.0,3495.0,4.0
PALM with expert AMDP,0,117,0.0,0.0,3499.0,4.0
PALM with expert AMDP,0,118,0.0,0.0,3503.0,4.0
PALM with expert AMDP,0,119,0.0,0.0,3507.0,4.0
PALM with expert AMDP,0,120,0.0,0.0,3511.0,4.0
PALM with expert AMDP,0,121,0.0,0.0,3515.0,4.0
PALM with expert AMDP,0,122,0.0,0.0,3519.0,4.0
PALM with expert AMDP,0,123,0.0,0.0,3523.0,4.0
PALM with expert AMDP,0,124,0.0,0.0,3527.0,4.0
PALM with expert AMDP,0,125,0.0,0.0,3531.0,4.0
PALM with expert AMDP,0,126,0.0,0.0,3538.0,7.0
PALM with expert AMDP,0,127,0.0,0.0,3542.0,4.0
PALM with expert AMDP,0,128,0.0,0.0,3546.0,4.0
PALM with expert AMDP,0,129,0.0,0.0,3550.0,4.0
PALM with expert AMDP,0,130,0.0,0.0,3554.0,4.0
PALM with expert AMDP,0,131,0.0,0.0,3558.0,4.0
PALM with expert AMDP,0,132,0.0,0.0,3562.0,4.0
PALM with expert AMDP,0,133,0.0,0.0,3566.0,4.0
PALM with expert AMDP,0,134,0.0,0.0,3572.0,6.0
PALM with expert AMDP,0,135,0.0,0.0,3576.0,4.0
PALM with expert AMDP,0,136,0.0,0.0,3580.0,4.0
PALM with expert AMDP,0,137,0.0,0.0,3584.0,4.0
PALM with expert AMDP,0,138,0.0,0.0,3588.0,4.0
PALM with expert AMDP,0,139,0.0,0.0,3592.0,4.0
PALM with expert AMDP,0,140,0.0,0.0,3596.0,4.0
PALM with expert AMDP,0,141,0.0,0.0,3600.0,4.0
PALM with expert AMDP,0,142,0.0,0.0,3604.0,4.0
PALM with expert AMDP,0,143,0.0,0.0,3608.0,4.0
PALM with expert AMDP,0,144,0.0,0.0,3612.0,4.0
PALM with expert AMDP,0,145,0.0,0.0,3616.0,4.0
PALM with expert AMDP,0,146,0.0,0.0,3620.0,4.0
PALM with expert AMDP,0,147,0.0,0.0,3668.0,48.0
PALM with expert AMDP,0,148,0.0,0.0,3672.0,4.0
PALM with expert AMDP,0,149,0.0,0.0,3676.0,4.0
PALM with expert AMDP,0,150,0.0,0.0,3735.0,59.0
PALM with expert AMDP,0,151,0.0,0.0,3739.0,4.0
PALM with expert AMDP,0,152,0.0,0.0,3743.0,4.0
PALM with expert AMDP,0,153,0.0,0.0,3747.0,4.0
PALM with expert AMDP,0,154,0.0,0.0,3751.0,4.0
PALM with expert AMDP,0,155,0.0,0.0,3755.0,4.0
PALM with expert AMDP,0,156,0.0,0.0,3759.0,4.0
PALM with expert AMDP,0,157,0.0,0.0,3763.0,4.0
PALM with expert AMDP,0,158,0.0,0.0,3767.0,4.0
PALM with expert AMDP,0,159,0.0,0.0,3771.0,4.0
PALM with expert AMDP,0,160,0.0,0.0,3775.0,4.0
PALM with expert AMDP,0,161,0.0,0.0,3779.0,4.0
PALM with expert AMDP,0,162,0.0,0.0,3783.0,4.0
PALM with expert AMDP,0,163,0.0,0.0,3792.0,9.0
PALM with expert AMDP,0,164,0.0,0.0,3796.0,4.0
PALM with expert AMDP,0,165,0.0,0.0,3800.0,4.0
PALM with expert AMDP,0,166,0.0,0.0,3804.0,4.0
PALM with expert AMDP,0,167,0.0,0.0,3808.0,4.0
PALM with expert AMDP,0,168,0.0,0.0,3812.0,4.0
PALM with expert AMDP,0,169,0.0,0.0,3816.0,4.0
PALM with expert AMDP,0,170,0.0,0.0,3820.0,4.0
PALM with expert AMDP,0,171,0.0,0.0,3824.0,4.0
PALM with expert AMDP,0,172,0.0,0.0,3828.0,4.0
PALM with expert AMDP,0,173,0.0,0.0,3832.0,4.0
PALM with expert AMDP,0,174,0.0,0.0,3836.0,4.0
PALM with expert AMDP,0,175,0.0,0.0,3840.0,4.0
PALM with expert AMDP,0,176,0.0,0.0,3844.0,4.0
PALM with expert AMDP,0,177,0.0,0.0,3848.0,4.0
PALM with expert AMDP,0,178,0.0,0.0,3852.0,4.0
PALM with expert AMDP,0,179,0.0,0.0,3856.0,4.0
PALM with expert AMDP,0,180,0.0,0.0,3860.0,4.0
PALM with expert AMDP,0,181,0.0,0.0,3864.0,4.0
PALM with expert AMDP,0,182,0.0,0.0,3868.0,4.0
PALM with expert AMDP,0,183,0.0,0.0,3872.0,4.0
PALM with expert AMDP,0,184,0.0,0.0,3876.0,4.0
PALM with expert AMDP,0,185,0.0,0.0,3880.0,4.0
PALM with expert AMDP,0,186,0.0,0.0,3884.0,4.0
PALM with expert AMDP,0,187,0.0,0.0,3888.0,4.0
PALM with expert AMDP,0,188,0.0,0.0,3892.0,4.0
PALM with expert AMDP,0,189,0.0,0.0,3896.0,4.0
PALM with expert AMDP,0,190,0.0,0.0,3900.0,4.0
PALM with expert AMDP,0,191,0.0,0.0,3904.0,4.0
PALM with expert AMDP,0,192,0.0,0.0,3910.0,6.0
PALM with expert AMDP,0,193,0.0,0.0,3914.0,4.0
PALM with expert AMDP,0,194,0.0,0.0,3918.0,4.0
PALM with expert AMDP,0,195,0.0,0.0,3922.0,4.0
PALM with expert AMDP,0,196,0.0,0.0,3926.0,4.0
PALM with expert AMDP,0,197,0.0,0.0,3930.0,4.0
PALM with expert AMDP,0,198,0.0,0.0,3934.0,4.0
PALM with expert AMDP,0,199,0.0,0.0,3938.0,4.0
PALM with expert AMDP,0,200,0.0,0.0,3942.0,4.0
PALM with expert AMDP,0,201,0.0,0.0,3946.0,4.0
PALM with expert AMDP,0,202,0.0,0.0,3950.0,4.0
PALM with expert AMDP,0,203,0.0,0.0,3954.0,4.0
PALM with expert AMDP,0,204,0.0,0.0,3958.0,4.0
PALM with expert AMDP,0,205,0.0,0.0,3962.0,4.0
PALM with expert AMDP,0,206,0.0,0.0,3966.0,4.0
PALM with expert AMDP,0,207,0.0,0.0,3970.0,4.0
PALM with expert AMDP,0,208,0.0,0.0,3974.0,4.0
PALM with expert AMDP,0,209,0.0,0.0,3978.0,4.0
PALM with expert AMDP,0,210,0.0,0.0,3982.0,4.0
PALM with expert AMDP,0,211,0.0,0.0,3986.0,4.0
PALM with expert AMDP,0,212,0.0,0.0,3990.0,4.0
PALM with expert AMDP,0,213,0.0,0.0,3994.0,4.0
PALM with expert AMDP,0,214,0.0,0.0,3998.0,4.0
PALM with expert AMDP,0,215,0.0,0.0,4002.0,4.0
PALM with expert AMDP,0,216,0.0,0.0,4006.0,4.0
PALM with expert AMDP,0,217,0.0,0.0,4010.0,4.0
PALM with expert AMDP,0,218,0.0,0.0,4014.0,4.0
PALM with expert AMDP,0,219,0.0,0.0,4018.0,4.0
PALM with expert AMDP,0,220,0.0,0.0,4022.0,4.0
PALM with expert AMDP,0,221,0.0,0.0,4026.0,4.0
PALM with expert AMDP,0,222,0.0,0.0,4030.0,4.0
